% Date and time of this run: 10-Feb-2005 00:18:25
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%error bar	freq (Hz)	sens integrand
3.533831e-04	1.770000e+02	9.030469e+02
3.533831e-04	1.772500e+02	8.644222e+02
3.533831e-04	1.775000e+02	8.336210e+02
3.533831e-04	1.777500e+02	7.481246e+02
3.533831e-04	1.780000e+02	6.744876e+02
3.533831e-04	1.782500e+02	7.111947e+02
3.533831e-04	1.785000e+02	7.264471e+02
3.533831e-04	1.787500e+02	6.837747e+02
3.533831e-04	1.790000e+02	6.276906e+02
3.533831e-04	1.792500e+02	5.127273e+02
3.533831e-04	1.795000e+02	4.140508e+02
3.533831e-04	1.797500e+02	1.031956e+00
3.533831e-04	1.800000e+02	0.000000e+00
3.533831e-04	1.802500e+02	1.178082e+00
3.533831e-04	1.805000e+02	5.733245e+02
3.533831e-04	1.807500e+02	6.967782e+02
3.533831e-04	1.810000e+02	8.223238e+02
3.533831e-04	1.812500e+02	9.229029e+02
3.533831e-04	1.815000e+02	1.065120e+03
3.533831e-04	1.817500e+02	1.204479e+03
3.533831e-04	1.820000e+02	1.211736e+03
3.533831e-04	1.822500e+02	1.257574e+03
3.533831e-04	1.825000e+02	1.341824e+03
3.533831e-04	1.827500e+02	1.299409e+03
3.533831e-04	1.830000e+02	1.313422e+03
3.533831e-04	1.832500e+02	1.373375e+03
3.533831e-04	1.835000e+02	1.385658e+03
3.533831e-04	1.837500e+02	1.381629e+03
3.533831e-04	1.840000e+02	1.325697e+03
3.533831e-04	1.842500e+02	1.265937e+03
3.533831e-04	1.845000e+02	7.466862e+02
3.533831e-04	1.847500e+02	4.448428e+02
3.533831e-04	1.850000e+02	9.576607e+02
3.533831e-04	1.852500e+02	1.260674e+03
3.533831e-04	1.855000e+02	1.194442e+03
3.533831e-04	1.857500e+02	1.173269e+03
3.533831e-04	1.860000e+02	1.118931e+03
3.533831e-04	1.862500e+02	1.071365e+03
3.533831e-04	1.865000e+02	1.045381e+03
3.533831e-04	1.867500e+02	1.014748e+03
3.533831e-04	1.870000e+02	9.928514e+02
3.533831e-04	1.872500e+02	9.928877e+02
3.533831e-04	1.875000e+02	1.000601e+03
3.533831e-04	1.877500e+02	1.026440e+03
3.533831e-04	1.880000e+02	1.047062e+03
3.533831e-04	1.882500e+02	1.048712e+03
3.533831e-04	1.885000e+02	1.044047e+03
3.533831e-04	1.887500e+02	1.050726e+03
